valor_original,valor_normalizado,raw_norm,stripped,codigo_dane_sugerido,nombre_dane_sugerido,departamento_sugerido,metodo_nuevo,confianza_nueva,estado_revision,motivo,top_1_codigo,top_1_nombre,top_1_departamento,top_1_score_nuevo,top_2_codigo,top_2_nombre,top_2_departamento,top_2_score_nuevo,top_3_codigo,top_3_nombre,top_3_departamento,top_3_score_nuevo
SAN JOSE  DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SAN JOSE DE  CÚCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SAN JOSE DE CUCUTA-,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SAN JOSE DE CUCUTA|,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SANTIAGO  DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SANTIAGO DE  CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
San José de Cúcuta,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
"San José de Cúcuta ,",SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,SAN JOSE DE CUCUTA,54001,SAN JOSÉ DE CÚCUTA,NORTE DE SANTANDER,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
Santiago de Cali,SANTIAGO DE CALI,SANTIAGO DE CALI,SANTIAGO DE CALI,76001,SANTIAGO DE CALI,VALLE DEL CAUCA,exact,100.00,AUTO_APROBADO,coincidencia exacta con municipio DANE unico,,,,,,,,,,,,
