nombre_normalizado,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCALDIA DE ABREGO,ALCALDIA DE ABREGO,publica,gov,ÁBREGO,NORTE DE SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE ABRIAQUI,ALCALDIA DE ABRIAQUI,publica,gov,ABRIAQUÍ,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ACACIAS,ALCALDIA DE ACACIAS,publica,gov,ACACÍAS,META,NO APLICA,ACTIVA
ALCALDIA DE ACANDI,ALCALDIA DE ACANDI,publica,gov,ACANDÍ,CHOCÓ,NO APLICA,ACTIVA
ALCALDIA DE ACEVEDO,ALCALDIA DE ACEVEDO,publica,gov,ACEVEDO,HUILA,NO APLICA,ACTIVA
ALCALDIA DE ACHI,ALCALDIA DE ACHI,publica,gov,ACHÍ,BOLÍVAR,NO APLICA,ACTIVA
ALCALDIA DE AGUA DE DIOS,ALCALDIA DE AGUA DE DIOS,publica,gov,AGUA DE DIOS,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE AGUACHICA,ALCALDIA DE AGUACHICA,publica,gov,AGUACHICA,CESAR,NO APLICA,ACTIVA
ALCALDIA DE AGUADA SANTANDER,ALCALDIA DE AGUADA SANTANDER,publica,gov,AGUADA,SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE AGUADAS CALDAS,ALCALDIA DE AGUADAS CALDAS,publica,gov,AGUADAS,CALDAS,NO APLICA,ACTIVA
ALCALDIA DE AGUAZUL,ALCALDIA DE AGUAZUL,publica,gov,AGUAZUL,CASANARE,NO APLICA,ACTIVA
ALCALDIA DE AGUSTIN CODAZZI,ALCALDIA DE AGUSTIN CODAZZI,publica,gov,AGUSTÍN CODAZZI,CESAR,NO APLICA,ACTIVA
ALCALDIA DE AIPE,ALCALDIA DE AIPE,publica,gov,AIPE,HUILA,NO APLICA,ACTIVA
ALCALDIA DE ALBAN CUNDINAMARCA,ALCALDIA DE ALBAN CUNDINAMARCA,publica,gov,ALBÁN,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE ALBAN NARINO,ALCALDIA DE ALBAN  NARIÑO,publica,gov,ALBÁN,NARIÑO,NO APLICA,ACTIVA
ALCALDIA DE ALBANIA CAQUETA,ALCALDIA DE ALBANIA CAQUETA,publica,gov,ALBANIA,CAQUETÁ,NO APLICA,ACTIVA
ALCALDIA DE ALBANIA GUAJIRA,ALCALDIA DE ALBANIA  GUAJIRA,publica,gov,ALBANIA,LA GUAJIRA,NO APLICA,ACTIVA
ALCALDIA DE ALBANIA SANTANDER,ALCALDIA DE ALBANIA -SANTANDER,publica,gov,ALBANIA,SANTANDER,NO APLICA,ACTIVA
ALCALDIA DE ALCALA,ALCALDIA DE ALCALA,publica,gov,ALCALÁ,VALLE DEL CAUCA,NO APLICA,ACTIVA
ALCALDIA DE ALDANA,ALCALDIA DE ALDANA,publica,gov,ALDANA,NARIÑO,NO APLICA,ACTIVA
ALCALDIA DE ALEJANDRIA,ALCALDIA DE ALEJANDRIA,publica,gov,ALEJANDRÍA,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ALGARROBO,ALCALDIA DE ALGARROBO,publica,gov,ALGARROBO,MAGDALENA,NO APLICA,ACTIVA
ALCALDIA DE ALGECIRAS,ALCALDIA DE ALGECIRAS,publica,gov,ALGECIRAS,HUILA,NO APLICA,ACTIVA
ALCALDIA DE ALMAGUER,ALCALDIA DE ALMAGUER,publica,gov,ALMAGUER,CAUCA,NO APLICA,ACTIVA
ALCALDIA DE ALMEIDA,ALCALDIA DE ALMEIDA,publica,gov,ALMEIDA,BOYACÁ,NO APLICA,ACTIVA
ALCALDIA DE ALPUJARRA,ALCALDIA DE ALPUJARRA,publica,gov,ALPUJARRA,TOLIMA,NO APLICA,ACTIVA
ALCALDIA DE ALTAMIRA,ALCALDIA DE ALTAMIRA,publica,gov,ALTAMIRA,HUILA,NO APLICA,ACTIVA
ALCALDIA DE ALTO BAUDO PIE DE PATO,ALCALDIA DE ALTO BAUDO  (PIE DE PATO),publica,gov,ALTO BAUDÓ,CHOCÓ,NO APLICA,ACTIVA
ALCALDIA DE ALTOS DEL ROSARIO BOLIVAR,ALCALDIA DE ALTOS DEL ROSARIO - BOLIVAR,publica,gov,ALTOS DEL ROSARIO,BOLÍVAR,NO APLICA,ACTIVA
ALCALDIA DE ALVARADO,ALCALDIA DE ALVARADO,publica,gov,ALVARADO,TOLIMA,NO APLICA,ACTIVA
ALCALDIA DE AMAGA,ALCALDIA DE AMAGA,publica,gov,AMAGÁ,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE AMALFI,ALCALDIA DE AMALFI,publica,gov,AMALFI,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE AMBALEMA,ALCALDIA DE AMBALEMA,publica,gov,AMBALEMA,TOLIMA,NO APLICA,ACTIVA
ALCALDIA DE ANAPOIMA,ALCALDIA DE ANAPOIMA,publica,gov,ANAPOIMA,CUNDINAMARCA,NO APLICA,ACTIVA
ALCALDIA DE ANCUYA,ALCALDIA DE ANCUYA,publica,gov,ANCUYA,NARIÑO,NO APLICA,ACTIVA
ALCALDIA DE ANDALUCIA,ALCALDIA DE ANDALUCIA,publica,gov,ANDALUCÍA,VALLE DEL CAUCA,NO APLICA,ACTIVA
ALCALDIA DE ANDES,ALCALDIA DE ANDES,publica,gov,ANDES,ANTIOQUIA,NO APLICA,ACTIVA
