nombre_normalizado,match,nombre_oficial,tipo,fuente,municipio,departamento,sector,estado
ALCALDIA CDE VILLAVICENCIO,False,,,,,,,
ALCALDIA CHINCHINA,False,,,,,,,
ALCALDIA CIUDAD DE ITAGUI,False,,,,,,,
ALCALDIA CUCUTA,False,,,,,,,
ALCALDIA CURUMANI,False,,,,,,,
ALCALDIA D AGUAZUL,False,,,,,,,
ALCALDIA D E DOSQUEBRADAS,False,,,,,,,
ALCALDIA D VILLA DEL ROSARIO,False,,,,,,,
ALCALDIA DATRITAL DE BARRANCABERMEJA,False,,,,,,,
ALCALDIA DB FLORANCIA,False,,,,,,,
ALCALDIA DB FLORENCIA,False,,,,,,,
ALCALDIA DB PLORENCIA,False,,,,,,,
ALCALDIA DE,False,,,,,,,
ALCALDIA DE ABEJORRAL,True,ALCALDIA DE ABEJORRAL,publica,gov,ABEJORRAL,ANTIOQUIA,NO APLICA,ACTIVA
ALCALDIA DE ACACIA,False,,,,,,,
ALCALDIA DE ACACIA INSTITUTO DE TRANSITO Y TRANSPORTE DE ACACIAS MOVILIDAD SEGURIDAD Y CULTURA,False,,,,,,,
ALCALDIA DE ACACIAS,True,ALCALDIA DE ACACIAS,publica,gov,ACACÍAS,META,NO APLICA,ACTIVA
ALCALDIA DE ACACIAS CAININO DE OPORTUNIDAD,False,,,,,,,
ALCALDIA DE ACACIAS CAMINO DE OPORTUNIDAD,False,,,,,,,
ALCALDIA DE ACACIAS DEPARTAMENTO DEL META,False,,,,,,,
ALCALDIA DE ACACIAS INSTITUTO DE TRANSITO Y TRANSPORTE DE ACACIAS,False,,,,,,,
ALCALDIA DE ACACIAS META,False,,,,,,,
ALCALDIA DE ACASIAS,False,,,,,,,
ALCALDIA DE AGJAZUI,False,,,,,,,
ALCALDIA DE AGU,False,,,,,,,
ALCALDIA DE AGUACHICA,True,ALCALDIA DE AGUACHICA,publica,gov,AGUACHICA,CESAR,NO APLICA,ACTIVA
ALCALDIA DE AGUACUL,False,,,,,,,
ALCALDIA DE AGUAZAUL,False,,,,,,,
ALCALDIA DE AGUAZU,False,,,,,,,
ALCALDIA DE AGUAZUAL,False,,,,,,,
ALCALDIA DE AGUAZUI,False,,,,,,,
ALCALDIA DE AGUAZUL,True,ALCALDIA DE AGUAZUL,publica,gov,AGUAZUL,CASANARE,NO APLICA,ACTIVA
ALCALDIA DE AGUAZUL CASANARE,False,,,,,,,
ALCALDIA DE AGUAZUL1,False,,,,,,,
ALCALDIA DE AGUSTIN CODAZZI,True,ALCALDIA DE AGUSTIN CODAZZI,publica,gov,AGUSTÍN CODAZZI,CESAR,NO APLICA,ACTIVA
